ticker,cik,quarter_end,year,quarter,shares,report_date,form_type,xbrl_field
AAPL,320193,2013-09-30,2013,3,899213000,2013-09-28,10-K,CommonStockSharesOutstanding
AAPL,320193,2013-12-31,2013,4,892447000,2013-12-28,10-Q,CommonStockSharesOutstanding
AAPL,320193,2014-03-31,2014,1,861745000,2014-03-29,10-Q,CommonStockSharesOutstanding
AAPL,320193,2014-06-30,2014,2,5989171000,2014-06-28,10-Q,CommonStockSharesOutstanding
AAPL,320193,2014-09-30,2014,3,5866161000,2014-09-27,10-K,CommonStockSharesOutstanding
AAPL,320193,2014-12-31,2014,4,5826419000,2014-12-27,10-Q,CommonStockSharesOutstanding
AAPL,320193,2015-03-31,2015,1,5762278000,2015-03-28,10-Q,CommonStockSharesOutstanding
AAPL,320193,2015-06-30,2015,2,5705400000,2015-06-27,10-Q,CommonStockSharesOutstanding
AAPL,320193,2015-09-30,2015,3,5578753000,2015-09-26,10-K,CommonStockSharesOutstanding
AAPL,320193,2015-12-31,2015,4,5544487000,2015-12-26,10-Q,CommonStockSharesOutstanding
AAPL,320193,2016-03-31,2016,1,5478446000,2016-03-26,10-Q,CommonStockSharesOutstanding
AAPL,320193,2016-06-30,2016,2,5393165000,2016-06-25,10-Q,CommonStockSharesOutstanding
AAPL,320193,2016-09-30,2016,3,5336166000,2016-09-24,10-K,CommonStockSharesOutstanding
AAPL,320193,2016-12-31,2016,4,5255423000,2016-12-31,10-Q,CommonStockSharesOutstanding
AAPL,320193,2017-03-31,2017,1,5205815000,2017-04-01,10-Q,CommonStockSharesOutstanding
AAPL,320193,2017-06-30,2017,2,5169782000,2017-07-01,10-Q,CommonStockSharesOutstanding
AAPL,320193,2017-09-30,2017,3,5126201000,2017-09-30,10-K,CommonStockSharesOutstanding
AAPL,320193,2017-12-31,2017,4,5081651000,2017-12-30,10-Q,CommonStockSharesOutstanding
AAPL,320193,2018-03-31,2018,1,4943282000,2018-03-31,10-Q,CommonStockSharesOutstanding
AAPL,320193,2018-06-30,2018,2,4842917000,2018-06-30,10-Q,CommonStockSharesOutstanding
AAPL,320193,2018-09-30,2018,3,4754986000,2018-09-29,10-K,CommonStockSharesOutstanding
AAPL,320193,2018-12-31,2018,4,4729803000,2018-12-29,10-Q,CommonStockSharesOutstanding
AAPL,320193,2019-03-31,2019,1,4607284000,2019-03-30,10-Q,CommonStockSharesOutstanding
AAPL,320193,2019-06-30,2019,2,4531395000,2019-06-29,10-Q,CommonStockSharesOutstanding
AAPL,320193,2019-09-30,2019,3,4443236000,2019-09-28,10-K,CommonStockSharesOutstanding
AAPL,320193,2019-12-31,2019,4,4384959000,2019-12-28,10-Q,CommonStockSharesOutstanding
AAPL,320193,2020-03-31,2020,1,4323987000,2020-03-28,10-Q,CommonStockSharesOutstanding
AAPL,320193,2020-06-30,2020,2,4283939000,2020-06-27,10-Q,CommonStockSharesOutstanding
AAPL,320193,2020-09-30,2020,3,16976763000,2020-09-26,10-K,CommonStockSharesOutstanding
AAPL,320193,2020-12-31,2020,4,16823263000,2020-12-26,10-Q,CommonStockSharesOutstanding
AAPL,320193,2021-03-31,2021,1,16686305000,2021-03-27,10-Q,CommonStockSharesOutstanding
AAPL,320193,2021-06-30,2021,2,16556942000,2021-06-26,10-Q,CommonStockSharesOutstanding
AAPL,320193,2021-09-30,2021,3,16426786000,2021-09-25,10-K,CommonStockSharesOutstanding
AAPL,320193,2021-12-31,2021,4,16340851000,2021-12-25,10-Q,CommonStockSharesOutstanding
AAPL,320193,2022-03-31,2022,1,16207568000,2022-03-26,10-Q,CommonStockSharesOutstanding
AAPL,320193,2022-06-30,2022,2,16095378000,2022-06-25,10-Q,CommonStockSharesOutstanding
AAPL,320193,2022-09-30,2022,3,15943425000,2022-09-24,10-K,CommonStockSharesOutstanding
AAPL,320193,2022-12-31,2022,4,15842407000,2022-12-31,10-Q,CommonStockSharesOutstanding
AAPL,320193,2023-03-31,2023,1,15723406000,2023-04-01,10-Q,CommonStockSharesOutstanding
AAPL,320193,2023-06-30,2023,2,15647868000,2023-07-01,10-Q,CommonStockSharesOutstanding
AAPL,320193,2023-09-30,2023,3,15550061000,2023-09-30,10-K,CommonStockSharesOutstanding
AAPL,320193,2023-12-31,2023,4,15460223000,2023-12-30,10-Q,CommonStockSharesOutstanding
AAPL,320193,2024-03-31,2024,1,15337686000,2024-03-30,10-Q,CommonStockSharesOutstanding
AAPL,320193,2024-06-30,2024,2,15222259000,2024-06-29,10-Q,CommonStockSharesOutstanding
AAPL,320193,2024-09-30,2024,3,15116786000,2024-09-28,10-K,CommonStockSharesOutstanding
AAPL,320193,2024-12-31,2024,4,15040731000,2024-12-28,10-Q,CommonStockSharesOutstanding
AAPL,320193,2025-03-31,2025,1,14939315000,2025-03-29,10-Q,CommonStockSharesOutstanding
AAPL,320193,2025-06-30,2025,2,14856722000,2025-06-28,10-Q,CommonStockSharesOutstanding
AAPL,320193,2025-09-30,2025,3,14773260000,2025-09-27,10-K,CommonStockSharesOutstanding
AAPL,320193,2025-12-31,2025,4,14702703000,2025-12-27,10-Q,CommonStockSharesOutstanding
MSFT,789019,2013-09-30,2013,3,8346000000,2013-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2013-12-31,2013,4,8300000000,2013-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2014-03-31,2014,1,8260000000,2014-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2014-06-30,2014,2,8239000000,2014-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2014-09-30,2014,3,8255000000,2014-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2014-12-31,2014,4,8218000000,2014-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2015-03-31,2015,1,8113000000,2015-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2015-06-30,2015,2,8027000000,2015-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2015-09-30,2015,3,7986000000,2015-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2015-12-31,2015,4,7925000000,2015-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2016-03-31,2016,1,7870000000,2016-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2016-06-30,2016,2,7808000000,2016-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2016-09-30,2016,3,7784000000,2016-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2016-12-31,2016,4,7730000000,2016-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2017-03-31,2017,1,7723000000,2017-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2017-06-30,2017,2,7708000000,2017-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2017-09-30,2017,3,7720000000,2017-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2017-12-31,2017,4,7705000000,2017-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2018-03-31,2018,1,7690000000,2018-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2018-06-30,2018,2,7677000000,2018-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2018-09-30,2018,3,7680000000,2018-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2018-12-31,2018,4,7683000000,2018-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2019-03-31,2019,1,7666000000,2019-03-31,10-Q,CommonStockSharesOutstanding
